measure,label,model,dataset,arch,pvp,nshot,sample,value,time_train,time_test,run,majority
Precision,1,roberta,ag,pet,qa,10,2,0.961458333333333,,,4,0.946192893401015
Precision,1,roberta,ag,pet,qa,10,2,0.924752475247525,,,5,0.946192893401015
Precision,2,roberta,ag,pet,qa,10,2,0.689542483660131,,,1,0.683095723014257
Precision,2,roberta,ag,pet,qa,10,2,0.705579399141631,,,2,0.683095723014257
Precision,2,roberta,ag,pet,qa,10,2,0.677274581803346,,,3,0.683095723014257
Precision,2,roberta,ag,pet,qa,10,2,0.666266506602641,,,4,0.683095723014257
Precision,2,roberta,ag,pet,qa,10,2,0.665740373163954,,,5,0.683095723014257
Precision,3,roberta,ag,pet,qa,10,2,0.835889570552147,,,1,0.870888157894737
Precision,3,roberta,ag,pet,qa,10,2,0.878088962108732,,,2,0.870888157894737
Precision,3,roberta,ag,pet,qa,10,2,0.875656742556918,,,3,0.870888157894737
Precision,3,roberta,ag,pet,qa,10,2,0.857680722891566,,,4,0.870888157894737
Precision,3,roberta,ag,pet,qa,10,2,0.865502183406113,,,5,0.870888157894737
Recall,0,roberta,ag,pet,qa,10,2,0.809473684210526,,,1,0.846315789473684
Recall,0,roberta,ag,pet,qa,10,2,0.863684210526316,,,2,0.846315789473684
Recall,0,roberta,ag,pet,qa,10,2,0.855263157894737,,,3,0.846315789473684
Recall,0,roberta,ag,pet,qa,10,2,0.827368421052632,,,4,0.846315789473684
Recall,0,roberta,ag,pet,qa,10,2,0.836842105263158,,,5,0.846315789473684
Recall,1,roberta,ag,pet,qa,10,2,0.985263157894737,,,1,0.981052631578947
Recall,1,roberta,ag,pet,qa,10,2,0.986842105263158,,,2,0.981052631578947
Recall,1,roberta,ag,pet,qa,10,2,0.971052631578947,,,3,0.981052631578947
Recall,1,roberta,ag,pet,qa,10,2,0.971578947368421,,,4,0.981052631578947
Recall,1,roberta,ag,pet,qa,10,2,0.983157894736842,,,5,0.981052631578947
Recall,2,roberta,ag,pet,qa,10,2,0.888421052631579,,,1,0.882631578947368
