measure,label,dataset,arch,pvp,nshot,sample,value,time_train,time_test,run,majority
F1,2,ag,ia3,qa,10,1,0.318690783807063,19.5416522026062,285.7893409729,5,0.11972522080471
F1,3,ag,ia3,qa,10,1,0.529883279426241,19.4297163486481,285.559893131256,1,0.573001070172756
F1,3,ag,ia3,qa,10,1,0.602296619763869,19.502872467041,286.935701847076,2,0.573001070172756
F1,3,ag,ia3,qa,10,1,0.53122797123925,19.4739706516266,286.863533735275,3,0.573001070172756
F1,3,ag,ia3,qa,10,1,0.590117199873298,19.4756135940552,286.426137685776,4,0.573001070172756
F1,3,ag,ia3,qa,10,1,0.610460320079195,19.5416522026062,285.7893409729,5,0.573001070172756
F1,Overall,ag,ia3,qa,10,1,0.533889227501136,19.4297163486481,285.559893131256,1,0.558445172499673
F1,Overall,ag,ia3,qa,10,1,0.572521802530183,19.502872467041,286.935701847076,2,0.558445172499673
F1,Overall,ag,ia3,qa,10,1,0.499234335826817,19.4739706516266,286.863533735275,3,0.558445172499673
F1,Overall,ag,ia3,qa,10,1,0.573851746294338,19.4756135940552,286.426137685776,4,0.558445172499673
F1,Overall,ag,ia3,qa,10,1,0.62982839042054,19.5416522026062,285.7893409729,5,0.558445172499673
Precision,0,ag,ia3,qa,10,1,0.946140035906643,19.4297163486481,285.559893131256,1,0.858247422680412
Precision,0,ag,ia3,qa,10,1,0.841976815131178,19.502872467041,286.935701847076,2,0.858247422680412
Precision,0,ag,ia3,qa,10,1,0.910415149308085,19.4739706516266,286.863533735275,3,0.858247422680412
Precision,0,ag,ia3,qa,10,1,0.853433352567802,19.4756135940552,286.426137685776,4,0.858247422680412
Precision,0,ag,ia3,qa,10,1,0.844402277039848,19.5416522026062,285.7893409729,5,0.858247422680412
Precision,1,ag,ia3,qa,10,1,0.960240963855422,19.4297163486481,285.559893131256,1,0.96059889676911
Precision,1,ag,ia3,qa,10,1,0.934648581997534,19.502872467041,286.935701847076,2,0.96059889676911
Precision,1,ag,ia3,qa,10,1,0.965447154471545,19.4739706516266,286.863533735275,3,0.96059889676911
Precision,1,ag,ia3,qa,10,1,0.946415094339623,19.4756135940552,286.426137685776,4,0.96059889676911
Precision,1,ag,ia3,qa,10,1,0.956128133704735,19.5416522026062,285.7893409729,5,0.96059889676911
Precision,2,ag,ia3,qa,10,1,0.849438202247191,19.4297163486481,285.559893131256,1,0.884057971014493
Precision,2,ag,ia3,qa,10,1,0.821428571428571,19.502872467041,286.935701847076,2,0.884057971014493
Precision,2,ag,ia3,qa,10,1,0.84,19.4739706516266,286.863533735275,3,0.884057971014493
Precision,2,ag,ia3,qa,10,1,0.8984375,19.4756135940552,286.426137685776,4,0.884057971014493
Precision,2,ag,ia3,qa,10,1,0.876777251184834,19.5416522026062,285.7893409729,5,0.884057971014493
Precision,3,ag,ia3,qa,10,1,0.361542890040299,19.4297163486481,285.559893131256,1,0.403792286145227
Precision,3,ag,ia3,qa,10,1,0.434742003268737,19.502872467041,286.935701847076,2,0.403792286145227
Precision,3,ag,ia3,qa,10,1,0.362796071634893,19.4739706516266,286.863533735275,3,0.403792286145227
Precision,3,ag,ia3,qa,10,1,0.422066153149071,19.4756135940552,286.426137685776,4,0.403792286145227
Precision,3,ag,ia3,qa,10,1,0.444604662340783,19.5416522026062,285.7893409729,5,0.403792286145227
Recall,0,ag,ia3,qa,10,1,0.554736842105263,19.4297163486481,285.559893131256,1,0.701052631578947
Recall,0,ag,ia3,qa,10,1,0.726315789473684,19.502872467041,286.935701847076,2,0.701052631578947
Recall,0,ag,ia3,qa,10,1,0.657894736842105,19.4739706516266,286.863533735275,3,0.701052631578947
Recall,0,ag,ia3,qa,10,1,0.778421052631579,19.4756135940552,286.426137685776,4,0.701052631578947
Recall,0,ag,ia3,qa,10,1,0.702631578947368,19.5416522026062,285.7893409729,5,0.701052631578947
Recall,1,ag,ia3,qa,10,1,0.419473684210526,19.4297163486481,285.559893131256,1,0.641578947368421
Recall,1,ag,ia3,qa,10,1,0.797894736842105,19.502872467041,286.935701847076,2,0.641578947368421
Recall,1,ag,ia3,qa,10,1,0.5,19.4739706516266,286.863533735275,3,0.641578947368421
Recall,1,ag,ia3,qa,10,1,0.66,19.4756135940552,286.426137685776,4,0.641578947368421
Recall,1,ag,ia3,qa,10,1,0.722631578947368,19.5416522026062,285.7893409729,5,0.641578947368421
Recall,2,ag,ia3,qa,10,1,0.198947368421053,19.4297163486481,285.559893131256,1,0.0642105263157895
Recall,2,ag,ia3,qa,10,1,0.0242105263157895,19.502872467041,286.935701847076,2,0.0642105263157895
Recall,2,ag,ia3,qa,10,1,0.0221052631578947,19.4739706516266,286.863533735275,3,0.0642105263157895
Recall,2,ag,ia3,qa,10,1,0.0605263157894737,19.4756135940552,286.426137685776,4,0.0642105263157895
Recall,2,ag,ia3,qa,10,1,0.194736842105263,19.5416522026062,285.7893409729,5,0.0642105263157895
Recall,3,ag,ia3,qa,10,1,0.991578947368421,19.4297163486481,285.559893131256,1,0.986315789473684
Recall,3,ag,ia3,qa,10,1,0.98,19.502872467041,286.935701847076,2,0.986315789473684
Recall,3,ag,ia3,qa,10,1,0.991578947368421,19.4739706516266,286.863533735275,3,0.986315789473684
Recall,3,ag,ia3,qa,10,1,0.980526315789474,19.4756135940552,286.426137685776,4,0.986315789473684
Recall,3,ag,ia3,qa,10,1,0.973684210526316,19.5416522026062,285.7893409729,5,0.986315789473684
Accuracy,Overall,ag,ia3,qa,10,2,0.618815789473684,19.6626446247101,285.031059265137,1,0.644078947368421
Accuracy,Overall,ag,ia3,qa,10,2,0.653552631578947,19.5486354827881,287.007049798965,2,0.644078947368421
Accuracy,Overall,ag,ia3,qa,10,2,0.550263157894737,19.5575921535492,287.597393035889,3,0.644078947368421
Accuracy,Overall,ag,ia3,qa,10,2,0.66921052631579,19.5294513702393,286.955711603165,4,0.644078947368421
Accuracy,Overall,ag,ia3,qa,10,2,0.692368421052632,19.5864951610565,287.268145084381,5,0.644078947368421
F1,0,ag,ia3,qa,10,2,0.666206420434933,19.6626446247101,285.031059265137,1,0.722423444188344
F1,0,ag,ia3,qa,10,2,0.739059967585089,19.5486354827881,287.007049798965,2,0.722423444188344
F1,0,ag,ia3,qa,10,2,0.519953506392871,19.5575921535492,287.597393035889,3,0.722423444188344
F1,0,ag,ia3,qa,10,2,0.802513464991023,19.5294513702393,286.955711603165,4,0.722423444188344
F1,0,ag,ia3,qa,10,2,0.700538358008075,19.5864951610565,287.268145084381,5,0.722423444188344
F1,1,ag,ia3,qa,10,2,0.862009380399901,19.6626446247101,285.031059265137,1,0.871248789932236
F1,1,ag,ia3,qa,10,2,0.891035165923725,19.5486354827881,287.007049798965,2,0.871248789932236
F1,1,ag,ia3,qa,10,2,0.844741235392321,19.5575921535492,287.597393035889,3,0.871248789932236
F1,1,ag,ia3,qa,10,2,0.823372583870251,19.5294513702393,286.955711603165,4,0.871248789932236
F1,1,ag,ia3,qa,10,2,0.815649867374005,19.5864951610565,287.268145084381,5,0.871248789932236
F1,2,ag,ia3,qa,10,2,0.604903735395754,19.6626446247101,285.031059265137,1,0.622900763358779
F1,2,ag,ia3,qa,10,2,0.622978436657682,19.5486354827881,287.007049798965,2,0.622900763358779
F1,2,ag,ia3,qa,10,2,0.540735400144196,19.5575921535492,287.597393035889,3,0.622900763358779
F1,2,ag,ia3,qa,10,2,0.670192670948243,19.5294513702393,286.955711603165,4,0.622900763358779
F1,2,ag,ia3,qa,10,2,0.698496546119464,19.5864951610565,287.268145084381,5,0.622900763358779
F1,3,ag,ia3,qa,10,2,0.141609195402299,19.6626446247101,285.031059265137,1,0.151685393258427
F1,3,ag,ia3,qa,10,2,0.167211583372256,19.5486354827881,287.007049798965,2,0.151685393258427
F1,3,ag,ia3,qa,10,2,0.112918660287081,19.5575921535492,287.597393035889,3,0.151685393258427
F1,3,ag,ia3,qa,10,2,0.114396509936985,19.5294513702393,286.955711603165,4,0.151685393258427
F1,3,ag,ia3,qa,10,2,0.472322070452912,19.5864951610565,287.268145084381,5,0.151685393258427
F1,Overall,ag,ia3,qa,10,2,0.568682182908222,19.6626446247101,285.031059265137,1,0.592064597684446
F1,Overall,ag,ia3,qa,10,2,0.605071288384688,19.5486354827881,287.007049798965,2,0.592064597684446
F1,Overall,ag,ia3,qa,10,2,0.504587200554117,19.5575921535492,287.597393035889,3,0.592064597684446
F1,Overall,ag,ia3,qa,10,2,0.602618807436626,19.5294513702393,286.955711603165,4,0.592064597684446
F1,Overall,ag,ia3,qa,10,2,0.671751710488614,19.5864951610565,287.268145084381,5,0.592064597684446
Precision,0,ag,ia3,qa,10,2,0.9679037111334,19.6626446247101,285.031059265137,1,0.964819700967458
Precision,0,ag,ia3,qa,10,2,0.962025316455696,19.5486354827881,287.007049798965,2,0.964819700967458
Precision,0,ag,ia3,qa,10,2,0.985315712187959,19.5575921535492,287.597393035889,3,0.964819700967458
