measure,label,model,dataset,arch,sampling,nshot,sample,value,time_train,time_test,pattern,verbalizer,run,majority,pvp
F1,argumentfor,xlmroberta-large,ukraine,lora,equal,10,2,0.14468085106383,27.7791352272034,47.2527830600739,prompt,alpha,5,0.27683615819209,prompt
F1,claimagainst,xlmroberta-large,ukraine,lora,equal,10,2,0.355555555555556,27.8126623630524,47.3245122432709,prompt,alpha,1,0.22972972972973,prompt
F1,claimagainst,xlmroberta-large,ukraine,lora,equal,10,2,0.209150326797386,27.8004052639008,47.2516431808472,prompt,alpha,2,0.22972972972973,prompt
F1,claimagainst,xlmroberta-large,ukraine,lora,equal,10,2,0.00826446280991735,27.8401567935944,47.1159570217133,prompt,alpha,3,0.22972972972973,prompt
F1,claimagainst,xlmroberta-large,ukraine,lora,equal,10,2,0.213058419243986,27.819587469101,47.2205469608307,prompt,alpha,4,0.22972972972973,prompt
F1,claimagainst,xlmroberta-large,ukraine,lora,equal,10,2,0.264516129032258,27.7791352272034,47.2527830600739,prompt,alpha,5,0.22972972972973,prompt
F1,claimfor,xlmroberta-large,ukraine,lora,equal,10,2,0.0786749482401656,27.8126623630524,47.3245122432709,prompt,alpha,1,0.136186770428016,prompt
F1,claimfor,xlmroberta-large,ukraine,lora,equal,10,2,0.320474777448071,27.8004052639008,47.2516431808472,prompt,alpha,2,0.136186770428016,prompt
F1,claimfor,xlmroberta-large,ukraine,lora,equal,10,2,0.135593220338983,27.8401567935944,47.1159570217133,prompt,alpha,3,0.136186770428016,prompt
F1,claimfor,xlmroberta-large,ukraine,lora,equal,10,2,0.210526315789474,27.819587469101,47.2205469608307,prompt,alpha,4,0.136186770428016,prompt
F1,claimfor,xlmroberta-large,ukraine,lora,equal,10,2,0.108433734939759,27.7791352272034,47.2527830600739,prompt,alpha,5,0.136186770428016,prompt
Precision,argumentagainst,xlmroberta-large,ukraine,lora,equal,10,2,0.1359375,27.8126623630524,47.3245122432709,prompt,alpha,1,0.134265734265734,prompt
Precision,argumentagainst,xlmroberta-large,ukraine,lora,equal,10,2,0.149837133550489,27.8004052639008,47.2516431808472,prompt,alpha,2,0.134265734265734,prompt
Precision,argumentagainst,xlmroberta-large,ukraine,lora,equal,10,2,0.164150943396226,27.8401567935944,47.1159570217133,prompt,alpha,3,0.134265734265734,prompt
Precision,argumentagainst,xlmroberta-large,ukraine,lora,equal,10,2,0.131944444444444,27.819587469101,47.2205469608307,prompt,alpha,4,0.134265734265734,prompt
Precision,argumentagainst,xlmroberta-large,ukraine,lora,equal,10,2,0.125598086124402,27.7791352272034,47.2527830600739,prompt,alpha,5,0.134265734265734,prompt
Precision,argumentfor,xlmroberta-large,ukraine,lora,equal,10,2,0.214953271028037,27.8126623630524,47.3245122432709,prompt,alpha,1,0.284883720930233,prompt
Precision,argumentfor,xlmroberta-large,ukraine,lora,equal,10,2,0.241463414634146,27.8004052639008,47.2516431808472,prompt,alpha,2,0.284883720930233,prompt
Precision,argumentfor,xlmroberta-large,ukraine,lora,equal,10,2,0.271573604060914,27.8401567935944,47.1159570217133,prompt,alpha,3,0.284883720930233,prompt
Precision,argumentfor,xlmroberta-large,ukraine,lora,equal,10,2,0.311111111111111,27.819587469101,47.2205469608307,prompt,alpha,4,0.284883720930233,prompt
Precision,argumentfor,xlmroberta-large,ukraine,lora,equal,10,2,0.320754716981132,27.7791352272034,47.2527830600739,prompt,alpha,5,0.284883720930233,prompt
Precision,claimagainst,xlmroberta-large,ukraine,lora,equal,10,2,0.528925619834711,27.8126623630524,47.3245122432709,prompt,alpha,1,0.596491228070175,prompt
Precision,claimagainst,xlmroberta-large,ukraine,lora,equal,10,2,0.477611940298507,27.8004052639008,47.2516431808472,prompt,alpha,2,0.596491228070175,prompt
Precision,claimagainst,xlmroberta-large,ukraine,lora,equal,10,2,0.333333333333333,27.8401567935944,47.1159570217133,prompt,alpha,3,0.596491228070175,prompt
Precision,claimagainst,xlmroberta-large,ukraine,lora,equal,10,2,0.596153846153846,27.819587469101,47.2205469608307,prompt,alpha,4,0.596491228070175,prompt
Precision,claimagainst,xlmroberta-large,ukraine,lora,equal,10,2,0.577464788732394,27.7791352272034,47.2527830600739,prompt,alpha,5,0.596491228070175,prompt
Precision,claimfor,xlmroberta-large,ukraine,lora,equal,10,2,0.76,27.8126623630524,47.3245122432709,prompt,alpha,1,0.625,prompt
Precision,claimfor,xlmroberta-large,ukraine,lora,equal,10,2,0.5,27.8004052639008,47.2516431808472,prompt,alpha,2,0.625,prompt
Precision,claimfor,xlmroberta-large,ukraine,lora,equal,10,2,0.493150684931507,27.8401567935944,47.1159570217133,prompt,alpha,3,0.625,prompt
Precision,claimfor,xlmroberta-large,ukraine,lora,equal,10,2,0.623655913978495,27.819587469101,47.2205469608307,prompt,alpha,4,0.625,prompt
