measure,label,model,dataset,arch,pvp,sampling,nshot,sample,value,time_train,time_test,run,majority
Accuracy,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.369,,,3,0.36
Accuracy,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.294,,,4,0.36
Accuracy,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.338,,,5,0.36
F1,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.37736646153764,,,1,0.366865133869513
F1,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.327707814572829,,,2,0.366865133869513
F1,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.379413098792525,,,3,0.366865133869513
F1,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.256152644778165,,,4,0.366865133869513
F1,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.339660635372191,,,5,0.366865133869513
F1,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.294784580498866,,,1,0.359605911330049
F1,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.227450980392157,,,2,0.359605911330049
F1,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.373033707865169,,,3,0.359605911330049
F1,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.128205128205128,,,4,0.359605911330049
F1,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.268482490272374,,,5,0.359605911330049
F1,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.314553990610329,,,1,0.365695792880259
F1,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.297253634894992,,,2,0.365695792880259
F1,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.365695792880259,,,3,0.365695792880259
F1,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.345323741007194,,,4,0.365695792880259
F1,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.314553990610329,,,5,0.365695792880259
F1,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.461855670103093,,,1,0.455445544554456
F1,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.428874734607219,,,2,0.455445544554456
F1,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.490666666666667,,,3,0.455445544554456
F1,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.270114942528736,,,4,0.455445544554456
F1,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.415,,,5,0.455445544554456
F1,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.438271604938272,,,1,0.286713286713287
