measure,label,model,dataset,arch,pvp,sampling,nshot,sample,value,time_train,time_test,run,majority
Recall,argumentagainst,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.231404958677686,12.0177159309387,20.0630574226379,4,0.223140495867769
Recall,argumentagainst,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.12396694214876,12.016615152359,20.2247447967529,5,0.223140495867769
Recall,argumentfor,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.71978021978022,12.0151963233948,19.56369805336,1,0.807692307692308
Recall,argumentfor,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.71978021978022,12.0164906978607,20.1971929073334,2,0.807692307692308
Recall,argumentfor,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.901098901098901,12.0194184780121,20.1062223911285,3,0.807692307692308
Recall,argumentfor,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.692307692307692,12.0177159309387,20.0630574226379,4,0.807692307692308
Recall,argumentfor,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.868131868131868,12.016615152359,20.2247447967529,5,0.807692307692308
Recall,claimagainst,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.292887029288703,12.0151963233948,19.56369805336,1,0.209205020920502
Recall,claimagainst,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.292887029288703,12.0164906978607,20.1971929073334,2,0.209205020920502
Recall,claimagainst,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.104602510460251,12.0194184780121,20.1062223911285,3,0.209205020920502
Recall,claimagainst,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.225941422594142,12.0177159309387,20.0630574226379,4,0.209205020920502
Recall,claimagainst,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.133891213389121,12.016615152359,20.2247447967529,5,0.209205020920502
Recall,claimfor,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.109170305676856,12.0151963233948,19.56369805336,1,0.0895196506550218
Recall,claimfor,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.133187772925764,12.0164906978607,20.1971929073334,2,0.0895196506550218
Recall,claimfor,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.054585152838428,12.0194184780121,20.1062223911285,3,0.0895196506550218
